Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Cooling CFM,Cooling Tons,Heating CFM,Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Total Cooling Load,Instant Sensible Heating,Delay Sensible Heating,Latent Heating,Total Heating Load
Room 04-12,290,2129.1,2.00,26,26,139,0.27,139,1573,1361,259,3193,-1386,-838,0,-2235,
Room 04-13,537,4010.7,0.47,0,0,134,0.25,134,1630,1201,184,3014,-1990,-178,0,-2178,
Room 04-14,196,1418.6,0.16,0,0,49,0.09,49,576,459,65,1101,-704,-87,0,-795,
Room 04-15,130,920.7,1.07,0,0,38,0.09,38,421,372,267,1060,0,-54,0,-54,
Room 04-16,159,1136.4,1.32,0,0,86,0.18,86,1256,550,330,2137,-1147,-726,0,-1873,
Room 04-17,203,1476.2,4.30,65,65,121,0.23,121,1506,1050,198,2754,-395,-73,0,-475,
Room 04-18,208,1516.1,2.00,21,21,114,0.22,114,1354,1055,260,2668,-707,-712,0,-1427,
Room 04-19,193,1400.6,2.00,21,21,113,0.22,113,1302,1071,225,2598,-697,-289,0,-994,
Room 04-20,197,1428.8,2.00,21,21,114,0.22,114,1311,1084,225,2620,-702,-274,0,-983,
Room 04-21,192,1386.1,2.00,20,20,112,0.22,112,1297,1070,225,2592,-696,-262,0,-964,
Room 04-22,195,1414.7,2.00,21,21,113,0.22,113,1307,1079,225,2611,-700,-269,0,-976,
Room 04-23,193,1400.6,2.00,21,21,113,0.22,113,1302,1074,225,2601,-698,-265,0,-970,
Room 04-24,195,1414.7,2.00,21,21,113,0.22,113,1307,1080,225,2611,-700,-269,0,-976,
Room 04-25,190,1372.0,2.00,20,20,112,0.22,112,1292,1065,225,2582,-693,-259,0,-960,
Room 04-26,199,1443.3,2.00,21,21,114,0.22,114,1316,1083,224,2624,-703,-302,0,-1013,
Room 04-27,198,1434.5,2.00,21,21,110,0.22,110,1326,1000,258,2584,-695,-693,0,-1396,
Room 04-28,148,1055.9,0.12,0,0,39,0.07,39,429,397,49,875,-524,-46,0,-572,
Room 05-00,1602,11290.1,1.41,85,85,422,0.75,422,4462,4419,91,8971,-1462,-1069,0,-2553,
Room 05-01,209,1520.6,2.00,21,21,108,0.21,108,1263,1017,248,2528,-731,-716,0,-1455,
Room 05-02,196,1418.9,2.00,21,21,105,0.20,105,1215,1000,244,2458,-724,-292,0,-1023,
Room 05-03,200,1447.5,2.00,21,21,106,0.21,106,1225,1011,244,2480,-728,-277,0,-1012,
Room 05-04,194,1404.5,2.00,21,21,105,0.20,105,1210,997,244,2450,-722,-264,0,-993,
Room 05-05,198,1433.1,2.00,21,21,106,0.21,106,1220,1007,244,2470,-726,-271,0,-1005,
Room 05-06,196,1418.9,2.00,21,21,105,0.20,105,1215,1001,244,2460,-724,-267,0,-999,
Room 05-07,198,1433.1,2.00,21,21,106,0.21,106,1220,1007,244,2471,-726,-271,0,-1005,
Room 05-08,192,1390.0,2.00,20,20,104,0.20,104,1205,992,244,2440,-720,-260,0,-987,
Room 05-09,201,1462.0,2.00,21,21,107,0.21,107,1230,1016,244,2489,-730,-281,0,-1019,
Room 05-10,200,1453.2,2.00,21,21,106,0.21,106,1227,1014,244,2485,-728,-312,0,-1048,
Room 05-11,145,1028.7,1.20,0,0,81,0.17,81,1109,598,299,2005,-575,-512,0,-1087,
Room 05-12,290,2129.1,2.00,26,26,139,0.27,139,1571,1361,259,3191,-1389,-842,0,-2242,
Room 05-13,537,4010.7,0.47,0,0,134,0.25,134,1629,1200,184,3013,-1991,-191,0,-2192,
Room 05-14,196,1418.6,0.16,0,0,49,0.09,49,576,459,65,1100,-704,-91,0,-799,
Room 05-15,130,920.7,1.07,0,0,38,0.09,38,421,372,267,1061,0,-56,0,-56,
Room 05-16,159,1136.4,1.32,0,0,86,0.18,86,1254,549,330,2133,-1151,-728,0,-1879,
Room 05-17,203,1476.2,4.30,65,65,121,0.23,121,1506,1050,198,2754,-396,-77,0,-478,
Room 05-18,208,1516.1,2.00,21,21,114,0.22,114,1353,1053,259,2665,-708,-715,0,-1432,
Room 05-19,193,1400.6,2.00,21,21,113,0.22,113,1300,1071,225,2595,-699,-292,0,-998,
Room 05-20,197,1428.8,2.00,21,21,114,0.22,114,1310,1083,225,2617,-703,-278,0,-988,
Room 05-21,192,1386.1,2.00,20,20,112,0.22,112,1295,1069,225,2589,-697,-264,0,-969,
Room 05-22,195,1414.7,2.00,21,21,113,0.22,113,1305,1079,225,2608,-701,-272,0,-980,
Room 05-23,193,1400.6,2.00,21,21,113,0.22,113,1300,1074,225,2599,-699,-268,0,-974,
Room 05-24,195,1414.7,2.00,21,21,113,0.22,113,1305,1079,225,2609,-701,-272,0,-981,
Room 05-25,190,1372.0,2.00,20,20,112,0.21,112,1290,1065,225,2580,-695,-262,0,-964,
Room 05-26,199,1443.3,2.00,21,21,114,0.22,114,1315,1082,224,2621,-705,-305,0,-1017,
Room 05-27,198,1434.5,2.00,21,21,110,0.22,110,1324,1000,258,2581,-696,-696,0,-1400,
Room 05-28,148,1055.9,0.12,0,0,39,0.07,39,429,397,49,875,-524,-49,0,-576,
Room 06-00,1602,11290.1,1.41,85,85,422,0.75,422,4456,4438,91,8985,-1465,-1321,0,-2809,
Room 06-01,209,1520.6,2.00,21,21,109,0.21,109,1261,1029,248,2538,-732,-746,0,-1486,
Room 06-02,196,1418.9,2.00,21,21,106,0.21,106,1213,1013,244,2469,-725,-321,0,-1053,
Room 06-03,200,1447.5,2.00,21,21,107,0.21,107,1223,1024,244,2491,-729,-307,0,-1043,
Room 06-04,194,1404.5,2.00,21,21,105,0.21,105,1208,1010,244,2461,-723,-293,0,-1023,
Room 06-05,198,1433.1,2.00,21,21,106,0.21,106,1218,1020,244,2481,-727,-301,0,-1036,
Room 06-06,196,1418.9,2.00,21,21,106,0.21,106,1213,1014,244,2471,-725,-296,0,-1029,
Room 06-07,198,1433.1,2.00,21,21,106,0.21,106,1218,1020,244,2482,-727,-301,0,-1035,
Room 06-08,192,1390.0,2.00,20,20,105,0.20,105,1202,1005,244,2451,-721,-288,0,-1016,
Room 06-09,201,1462.0,2.00,21,21,107,0.21,107,1228,1029,244,2501,-731,-311,0,-1050,
Room 06-10,200,1453.2,2.00,21,21,107,0.21,107,1225,1028,244,2497,-729,-342,0,-1078,
Room 06-11,145,1028.7,1.20,0,0,81,0.17,81,1107,603,299,2009,-577,-531,0,-1108,
Room 06-12,290,2129.1,2.00,26,26,140,0.27,140,1569,1379,259,3207,-1391,-882,0,-2284,
Room 06-13,537,4010.7,0.47,0,0,135,0.24,135,1627,1209,73,2908,-1992,-279,0,-2282,
Room 06-14,196,1418.6,0.16,0,0,49,0.09,49,568,469,65,1103,-705,-122,0,-830,
Room 06-15,130,920.7,1.07,0,0,38,0.09,38,421,380,267,1069,0,-77,0,-77,
Room 06-16,159,1136.4,1.32,0,0,86,0.18,86,1251,553,330,2134,-1155,-747,0,-1902,
Room 06-17,203,1476.2,4.30,65,65,122,0.23,122,1495,1069,198,2762,-396,-111,0,-513,
Room 06-18,208,1516.1,2.00,21,21,114,0.22,114,1351,1054,259,2664,-709,-745,0,-1463,
Room 06-19,193,1400.6,2.00,21,21,112,0.22,112,1298,1067,225,2590,-700,-321,0,-1028,
Room 06-20,197,1428.8,2.00,21,21,113,0.22,113,1308,1079,224,2611,-704,-307,0,-1019,
Room 06-21,192,1386.1,2.00,20,20,112,0.22,112,1293,1065,225,2584,-698,-293,0,-998,
Room 06-22,195,1414.7,2.00,21,21,113,0.22,113,1303,1075,225,2603,-702,-302,0,-1011,
Room 06-23,193,1400.6,2.00,21,21,112,0.22,112,1298,1070,225,2593,-700,-297,0,-1004,
Room 06-24,195,1414.7,2.00,21,21,113,0.22,113,1303,1075,225,2603,-702,-301,0,-1010,
