Room Name,Floor Area,Volume,Number of People,Calculated Ventilation CFM,Input Ventilation CFM,Coling Tons, Cooling CFM,Total Cooling Load (Btu/h),Instant Sensible Cooling,Delay Sensible Cooling,Latent Cooling,Heating CFM,Total Heating Load (Btu/h),Instant Sensible Heating,Delay Sensible Heating,Latent Heating
Room 04-12,290.0,2129.1,2.0,26.0,26.0,0.27,139.0,3193.0,1573.0,1361.0,259.0,139.0,-2235.0,-1386.0,-838.0,0.0
Room 04-13,537.0,4010.7,0.47,0,0,0.25,134.0,3014.0,1630.0,1201.0,184.0,134.0,-2178.0,-1990.0,-178.0,0.0
Room 04-14,196.0,1418.6,0.16,0,0,0.09,49.0,1101.0,576.0,459.0,65.0,49.0,-795.0,-704.0,-87.0,0.0
Room 04-15,130.0,920.7,1.07,0,0,0.09,38.0,1060.0,421.0,372.0,267.0,38.0,-54.0,0.0,-54.0,0.0
Room 04-16,159.0,1136.4,1.32,0,0,0.18,86.0,2137.0,1256.0,550.0,330.0,86.0,-1873.0,-1147.0,-726.0,0.0
Room 04-17,203.0,1476.2,4.3,65.0,65.0,0.23,121.0,2754.0,1506.0,1050.0,198.0,121.0,-475.0,-395.0,-73.0,0.0
Room 04-18,208.0,1516.1,2.0,21.0,21.0,0.22,114.0,2668.0,1354.0,1055.0,260.0,114.0,-1427.0,-707.0,-712.0,0.0
Room 04-19,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2598.0,1302.0,1071.0,225.0,113.0,-994.0,-697.0,-289.0,0.0
Room 04-20,197.0,1428.8,2.0,21.0,21.0,0.22,114.0,2620.0,1311.0,1084.0,225.0,114.0,-983.0,-702.0,-274.0,0.0
Room 04-21,192.0,1386.1,2.0,20.0,20.0,0.22,112.0,2592.0,1297.0,1070.0,225.0,112.0,-964.0,-696.0,-262.0,0.0
Room 04-22,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2611.0,1307.0,1079.0,225.0,113.0,-976.0,-700.0,-269.0,0.0
Room 04-23,193.0,1400.6,2.0,21.0,21.0,0.22,113.0,2601.0,1302.0,1074.0,225.0,113.0,-970.0,-698.0,-265.0,0.0
Room 04-24,195.0,1414.7,2.0,21.0,21.0,0.22,113.0,2611.0,1307.0,1080.0,225.0,113.0,-976.0,-700.0,-269.0,0.0
Room 04-25,190.0,1372.0,2.0,20.0,20.0,0.22,112.0,2582.0,1292.0,1065.0,225.0,112.0,-960.0,-693.0,-259.0,0.0
Room 04-26,199.0,1443.3,2.0,21.0,21.0,0.22,114.0,2624.0,1316.0,1083.0,224.0,114.0,-1013.0,-703.0,-302.0,0.0
Room 04-27,198.0,1434.5,2.0,21.0,21.0,0.22,110.0,2584.0,1326.0,1000.0,258.0,110.0,-1396.0,-695.0,-693.0,0.0
Room 04-28,148.0,1055.9,0.12,0,0,0.07,39.0,875.0,429.0,397.0,49.0,39.0,-572.0,-524.0,-46.0,0.0
Room 05-00,1602.0,11290.1,1.41,85.0,85.0,0.75,422.0,8971.0,4462.0,4419.0,91.0,422.0,-2553.0,-1462.0,-1069.0,0.0
Room 05-01,209.0,1520.6,2.0,21.0,21.0,0.21,108.0,2528.0,1263.0,1017.0,248.0,108.0,-1455.0,-731.0,-716.0,0.0
Room 05-02,196.0,1418.9,2.0,21.0,21.0,0.2,105.0,2458.0,1215.0,1000.0,244.0,105.0,-1023.0,-724.0,-292.0,0.0
